utp_id;cd_mun;nm_mun
61;2411601;2411601
61;2408805;2408805
61;2405801;2405801
61;2410405;2410405
61;2408953;2408953
61;2414407;2414407
61;2410108;2410108
61;2404507;2404507
61;2412559;2412559
61;2413904;2413904
554;2406700;2406700
554;2400802;2400802
554;2409605;2409605
554;2400307;2400307
554;2405504;2405504
554;2403756;2403756
554;2409704;2409704
755;2413557;2413557
755;2311231;2311231
755;2405900;2405900
755;2404002;2404002
755;2413607;2413607
755;2411007;2411007
755;2414902;2414902
755;2404903;2404903
755;2400901;2400901
755;2414506;2414506
755;2406908;2406908
755;2407401;2407401
755;2410702;2410702
755;2413805;2413805
220;2404309;2404309
220;2404853;2404853
220;2411056;2411056
220;2402303;2402303
220;2401008;2401008
220;2410256;2410256
220;2413359;2413359
220;2414605;2414605
220;2400208;2400208
220;2408003;2408003
220;2404705;2404705
220;2414456;2414456
220;2401305;2401305
220;2404408;2404408
220;2411403;2411403
220;2409902;2409902
220;2401453;2401453
220;2412807;2412807
220;2408706;2408706
220;2403707;2403707
220;2401107;2401107
220;2400703;2400703
220;2402501;2402501
222;2412203;2412203
222;2408201;2408201
222;2403608;2403608
222;2407807;2407807
222;2412005;2412005
222;2404606;2404606
222;2407500;2407500
222;2414803;2414803
222;2402600;2402600
222;2401701;2401701
222;2408102;2408102
222;2403251;2403251
222;2404200;2404200
222;2407104;2407104
222;2401206;2401206
302;2412609;2412609
302;2413508;2413508
302;2405405;2405405
302;2414001;2414001
302;2403509;2403509
302;2412302;2412302
302;2401800;2401800
302;2406403;2406403
302;2413706;2413706
302;2413300;2413300
302;2401909;2401909
302;2412906;2412906
302;2401503;2401503
302;2410306;2410306
302;2401602;2401602
302;2406205;2406205
302;2414704;2414704
302;2409332;2409332
302;2406304;2406304
302;2413102;2413102
302;2410900;2410900
302;2412708;2412708
302;2409100;2409100
302;2411502;2411502
302;2411106;2411106
302;2406155;2406155
302;2409209;2409209
302;2407906;2407906
302;2406601;2406601
302;2405306;2405306
631;2403905;2403905
631;2407252;2407252
631;2410504;2410504
631;2414100;2414100
631;2411908;2411908
