Municipio_ID,Municipio_Nome,UTP_Origem,UTP_Destino,Motivo,Pontuacao_Scores,E_Sede_Original,Timestamp
3302106,Itaocara,300,300,0/0: REGIC Priority (Centro Sub-Regional B > Centro de Zona B),0/0,True,2026-01-26T14:47:02.289392
3503802,Artur Nogueira,NOVA15,NOVA15,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.300988
3534302,Orlândia,281,281,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.309156
3539202,Pirapozinho,274,274,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.348870
4212908,Pinhalzinho,88,88,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.388576
4302709,Butiá,267,267,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.401648
4304705,Carazinho,240,240,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.473330
4305454,Cidreira,267,267,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.480996
4310603,Itaqui,156,156,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.556335
4312401,Montenegro,267,267,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.579381
4312708,Nonoai,88,88,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.593536
4315057,Porto Mauá,299,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:47:02.602595
4315073,Porto Vera Cruz,299,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:47:02.615412
4315107,Porto Xavier,299,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:47:02.627049
4319604,São Sepé,497,497,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.783752
5005400,Maracaju,148,148,0/2: Target has Airport,0/2,True,2026-01-26T14:47:03.466794
5005681,Mundo Novo,624,624,0/1: Target has Airport,0/1,True,2026-01-26T14:47:03.478521
5103007,Chapada dos Guimarães,98,98,0/2: Target has Airport,0/2,True,2026-01-26T14:47:03.636343
5200803,Alvorada do Norte,654,654,0/0: REGIC Priority (Centro de Zona A > Centro de Zona B),0/0,True,2026-01-26T14:47:03.801310
5205471,Chapadão do Céu,466,466,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:47:04.075155
5210109,Ipameri,642,642,0/0: REGIC Priority (Centro de Zona A > Centro Local),0/0,True,2026-01-26T14:47:04.512496
5213087,Minaçu,648,648,0/0: REGIC Priority (Centro de Zona A > Centro de Zona B),0/0,True,2026-01-26T14:47:04.671963
5219308,Santa Helena de Goiás,287,287,0/2: Target has Airport,0/2,True,2026-01-26T14:47:04.731956
4317202,Santa Rosa,299,299,0/2: Target has Airport,0/2,True,2026-01-26T14:47:04.745451
1100189,Pimenta Bueno,759,759,0/1: Target has Airport,0/1,True,2026-01-26T14:47:23.600897
1502707,Conceição do Araguaia,662,662,0/0: REGIC Priority (Centro Sub-Regional A > Centro de Zona A),0/0,True,2026-01-26T14:47:23.617762
1600709,Tartarugalzinho,202,202,0/2: Target has Airport,0/2,True,2026-01-26T14:47:23.663224
1720903,Taguatinga,38,38,0/0: REGIC Priority (Centro Sub-Regional B > Centro Local),0/0,True,2026-01-26T14:47:24.068777
2100055,Açailândia,128,128,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.427114
2103000,Caxias,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.489489
2112506,Tutóia,407,407,0/1: Target has Airport,0/1,True,2026-01-26T14:47:24.551301
2200251,Alagoinha do Piauí,255,255,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:47:24.557108
2202208,Campo Maior,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.580527
2206209,Miguel Alves,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.588891
2210508,São Pedro do Piauí,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.594384
2303501,Cascavel,111,111,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.611514
2311603,Redenção,111,111,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.620892
2312205,Santa Quitéria,325,325,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.716865
2500403,Alagoa Nova,65,65,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.737320
2506905,Itabaiana,185,185,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.755864
2600203,Afrânio,253,253,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.780783
2603009,Cabrobó,675,675,0/0: REGIC Priority (Centro Sub-Regional B > Centro Local),0/0,True,2026-01-26T14:47:24.809560
2612604,Santa Maria da Boa Vista,253,253,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.825440
2709301,União dos Palmares,203,203,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.865813
2709400,Viçosa,203,203,0/2: Target has Airport,0/2,True,2026-01-26T14:47:24.879657
2901304,Andaraí,623,623,0/1: Target has Airport,0/1,True,2026-01-26T14:47:24.911345
2905008,Caculé,520,520,0/1: Target has Airport,0/1,True,2026-01-26T14:47:24.927132
2905206,Caetité,520,520,0/1: Target has Airport,0/1,True,2026-01-26T14:47:24.971963
2908101,Cocos,591,591,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:47:25.105923
